,Date,Open,Close,Volume,MACD,RSI,EFFR,UNRATE,USDX,VIX
1,6/1/20,79.4375,80.462502,80791200,1.402465957,58.07756809,0.05,11,98.300003,28.940001
1,6/2/20,80.1875,80.834999,87642800,1.324573995,60.18515835,0.06,11,97.839996,28.4
1,6/3/20,81.165001,81.279999,104491200,1.326429956,62.80945478,0.06,11,97.57,26.75
1,6/4/20,81.097504,80.580002,87560400,1.30738367,62.50310229,0.06,11,97.32,26.23
1,6/5/20,80.837502,82.875,137250400,1.256821507,61.26352035,0.07,11,96.739998,24.790001
1,6/6/20,80.837502,82.875,137250400,1.202884524,61.26352035,0.07,11,96.739998,24.790001
1,6/7/20,80.837502,82.875,137250400,1.146918118,61.26352035,0.07,11,96.739998,24.790001
1,6/8/20,82.5625,83.364998,95654400,1.227606181,66.73091562,0.07,11,96.839996,25.559999
1,6/9/20,83.035004,85.997498,147712400,1.314526137,68.06071783,0.08,11,96.629997,25.93
1,6/10/20,86.974998,88.209999,166651600,1.681946978,76.49690223,0.08,11,96.43,26.73
1,6/11/20,87.327499,83.974998,201662400,1.978764561,77.08018808,0.08,11,96.089996,30.450001
1,6/12/20,86.18,84.699997,200146000,2.097225543,70.91075723,0.08,11,96.809998,37.68
1,6/13/20,86.18,84.699997,200146000,2.166136849,70.91075723,0.08,11,96.809998,37.68
1,6/14/20,86.18,84.699997,200146000,2.195441867,70.91075723,0.08,11,96.809998,37.68
1,6/15/20,83.3125,85.747498,138808800,1.96463592,56.73729052,0.08,11,97.089996,44.09
1,6/16/20,87.864998,88.019997,165428800,2.12457827,67.75624895,0.08,11,96.559998,34.279999
1,6/17/20,88.787498,87.897499,114406400,2.299267254,69.45403135,0.08,11,97.010002,33.279999
1,6/18/20,87.852501,87.932503,96820400,2.335342711,65.67923868,0.08,11,97.080002,33.830002
1,6/19/20,88.660004,87.43,264476000,2.40140956,67.33064816,0.08,11,97.419998,32.07
1,6/20/20,88.660004,87.43,264476000,2.425804845,67.33064816,0.08,11,97.419998,32.07
1,6/21/20,88.660004,87.43,264476000,2.41727346,67.33064816,0.08,11,97.419998,32.07
1,6/22/20,87.834999,89.717499,135445200,2.317229687,63.43573041,0.08,11,97.660004,35.220001
1,6/23/20,91,91.6325,212155600,2.464919349,70.48874954,0.08,11,96.93,31.709999
1,6/24/20,91.25,90.014999,192623200,2.572483394,70.96516771,0.08,11,96.660004,31.049999
1,6/25/20,90.175003,91.209999,137522400,2.541686422,66.02902698,0.08,11,97.239998,36.59
1,6/26/20,91.102501,91.209999,137522400,2.562581097,68.09128066,0.08,11,97.349998,33.009998
1,6/27/20,91.102501,91.209999,137522400,2.549748366,68.09128066,0.08,11,97.349998,33.009998
1,6/28/20,91.102501,91.209999,137522400,2.51063727,68.09128066,0.08,11,97.349998,33.009998
1,6/29/20,88.3125,90.445,130646000,2.22881924,55.44549555,0.08,11,97.5,35.049999
1,6/30/20,90.019997,91.199997,140223200,2.118832576,60.30438585,0.08,11,97.400002,32.540001
1,7/1/20,91.279999,91.027496,110737200,2.109027428,63.4702223,0.09,10.2,97.389999,30.959999
1,7/2/20,91.962502,91.027496,114041600,2.131755515,65.09413389,0.09,10.2,97.150002,28.33
1,7/3/20,91.962502,91.027496,114041600,2.125268911,65.09413389,0.09,10.2,97.150002,28.33
1,7/4/20,91.962502,91.027496,114041600,2.095967225,65.09413389,0.09,10.2,97.150002,28.33
1,7/5/20,91.962502,91.027496,114041600,2.049124397,65.09413389,0.09,10.2,97.150002,28.33
1,7/6/20,92.5,93.462502,118655600,2.031949664,66.66392145,0.09,10.2,97.150002,27.76
1,7/7/20,93.852501,93.172501,112424400,2.103229373,70.28519086,0.09,10.2,96.75,28.77
1,7/8/20,94.18,95.342499,117092000,2.161232149,71.1037405,0.09,10.2,96.989998,28.950001
1,7/9/20,96.262497,95.752502,125642800,2.34817161,75.68962243,0.09,10.2,96.449997,28.18
1,7/10/20,95.334999,95.919998,90257200,2.393885916,70.33571993,0.09,10.2,96.75,30.860001
1,7/11/20,95.334999,95.919998,90257200,2.402421217,70.33571993,0.09,10.2,96.75,30.860001
1,7/12/20,95.334999,95.919998,90257200,2.381730398,70.33571993,0.09,10.2,96.75,30.860001
